customer_id,age,tenure_months,region,income,number_of_products,complaint_count,churned
14512939,,23,England - South East,54900.0,2.0,0,No
34890745,33.0,11,England - Yorkshire and Humber,46100.0,3.0,3,No
87006225,18.0,1,Scotland,30700.0,1.0,1,No
47326071,45.0,45,England - South East,47800.0,1.0,0,No
26282692,18.0,29,Scotland,25800.0,2.0,1,No
11974348,59.0,115,England - South West,37100.0,3.0,0,No
93759583,47.0,72,England - West Midlands,48200.0,2.0,0,No
45344962,35.0,46,England - London,72200.0,2.0,0,No
42640546,34.0,55,Scotland,28700.0,2.0,0,No
97071099,45.0,27,England - London,59600.0,3.0,0,No
24075819,69.0,132,England - North West,43100.0,3.0,0,No
62419254,25.0,30,England - North West,46200.0,1.0,0,No
15002819,46.0,74,England - London,49900.0,3.0,1,No
26670287,48.0,17,Northern Ireland,16200.0,1.0,1,No
49582240,46.0,67,England - South West,29900.0,2.0,0,No
85673294,62.0,104,England - North West,32900.0,3.0,0,No
40153865,35.0,24,England - North West,18900.0,1.0,0,No
65400046,44.0,6,Northern Ireland,29700.0,2.0,0, No 
46897252,50.0,74,England - North East,39400.0,2.0,0,No
32443774,18.0,6,England - West Midlands,25200.0,2.0,0,No
35872448,38.0,5,England - London,88400.0,2.0,0,No
33457648,21.0,25,England - North West,14300.0,2.0,0,No
28897743,53.0,71,England - North West,54500.0,1.0,1,No
89859093,42.0,59,England - South West,29400.0,2.0,1,No
27329746,25.0,0,Scotland,24700.0,1.0,1,No
33831973,18.0,9,England - West Midlands,23100.0,1.0,1,Yes
50064845,44.0,52,England - South West,31900.0,2.0,0,No
23885271,31.0,36,England - North West,15200.0,1.0,1,No
92676342,32.0,34,England - South East,33600.0,1.0,2,No
56530046,18.0,43,England - London,46800.0,1.0,1,No
51985426,,21,England - West Midlands,25400.0,1.0,0,No
62126995,52.0,56,Scotland,45800.0,2.0,0,No
16175862,27.0,25,England - Yorkshire and Humber,29900.0,1.0,1,No
99883228,53.0,50,London,37600.0,3.0,0,No
70252210,19.0,0,England - South East,40000.0,2.0,0,No
33909014,26.0,45,England - North West,51100.0,2.0,1,Yes
59467838,68.0,79,England - North West,33700.0,2.0,1,Yes
83181537,52.0,75,Scotland,37900.0,2.0,0,No
38298258,35.0,49,England - South West,28700.0,3.0,0,No
19696180,43.0,38,England - South East,66700.0,3.0,0,No
17738182,23.0,6,England - South West,22200.0,1.0,1,No
79819787,74.0,121,England - North West,46800.0,4.0,0,No
84537637,45.0,8,England - Yorkshire and Humber,40700.0,1.0,1,No
26334050,18.0,6,England - South East,16400.0,1.0,2,No
86218918,43.0,16,England - South East,28500.0,1.0,0,No
67333956,68.0,28,England - Yorkshire and Humber,32900.0,1.0,1,No
27978893,40.0,34,Wales,41000.0,1.0,0,No
22067806,37.0,1,north west,85700.0,1.0,1,No
41771647,60.0,32,England - South East,46500.0,2.0,0,No
77445082,55.0,81,England - London,50200.0,3.0,0,No
47914797,34.0,42,Wales,54900.0,2.0,0,No
90729255,58.0,79,England - Yorkshire and Humber,31300.0,3.0,0,No
38249155,62.0,96,England - North West,49200.0,2.0,0,No
24068666,64.0,33,England - West Midlands,19000.0,2.0,0,No
29361803,45.0,39,England - West Midlands,41300.0,1.0,0,No
82085630,55.0,55,England - Yorkshire and Humber,,4.0,0,No
17893435,38.0,20,England - London,61300.0,1.0,0,Yes
60976369,50.0,47,Scotland,42300.0,2.0,0,No
17033964,39.0,48,England - South East,55600.0,2.0,0,No
84676315,65.0,109,England - London,29500.0,2.0,2,Yes
86262393,42.0,62,England - South East,21800.0,1.0,1,No
98637706,57.0,26,england - london,90500.0,2.0,1,No
25839207,25.0,0,England - South East,20800.0,1.0,2,No
35954693,38.0,86,England - South West,17700.0,2.0,0,No
31881374,38.0,30,England - North West,12400.0,2.0,1,No
26962254,34.0,0,England - Yorkshire and Humber,40900.0,1.0,0,No
80162065,35.0,14,England - West Midlands,28400.0,2.0,1,No
46112840,52.0,52,England - North West,32700.0,2.0,0,No
29075271,51.0,75,England - London,45600.0,2.0,0,No
69693659,39.0,78,England - South East,59700.0,3.0,0,No
20667908,43.0,41,,47400.0,3.0,0,No
12130120,32.0,28,England - London,26800.0,1.0,0,No
62734860,,29,England - North West,31700.0,2.0,0,No
33807751,25.0,13,England - London,83400.0,3.0,1,No
16902922,49.0,61,England - Yorkshire and Humber,21000.0,1.0,2,Yes
94248624,49.0,42,England - South East,13800.0,1.0,1,No
82805415,51.0,62,England - North East,41300.0,2.0,0,No
68619492,18.0,13,England - South East,46300.0,1.0,1,No
52140003,49.0,10,England - London,46200.0,1.0,2,Yes
14974196,46.0,67,England - North West,47000.0,4.0,0,No
13745077,48.0,63,England - South East,31200.0,2.0,0,No
98514454,25.0,0,England - Yorkshire and Humber,27800.0,1.0,0,No
47219816,46.0,48,northern ireland,29800.0,1.0,0,No
19742361,47.0,20,Wales,39500.0,1.0,0,No
49542577,46.0,26,England - North West,21600.0,2.0,0,No
93256426,38.0,56,England - West Midlands,42700.0,3.0,0,No
76469708,18.0,0,England - Yorkshire and Humber,29000.0,1.0,0,No
96376280,18.0,23,England - London,22500.0,2.0,1,No
27388270,30.0,27,England - North West,22700.0,2.0,0,No
81353739,51.0,88,England - Yorkshire and Humber,68300.0,4.0,0,N
24136077,62.0,81,England - North East,29600.0,2.0,0,No
79102180,50.0,56,Scotland,29300.0,2.0,0,No
20235081,18.0,2,Northern Ireland,41300.0,2.0,1,No
93406964,65.0,54,England - North East,25600.0,4.0,0,No
99978246,18.0,0,England - South West,21500.0,2.0,0,No
58934147,46.0,31,England - London,59300.0,2.0,0,No
46611042,43.0,79,England - SW,30100.0,2.0,0,No
98409861,42.0,14,England - South West,43100.0,2.0,0,No
38542701,72.0,65,England - North East,16400.0,2.0,0,No
36903822,26.0,17,Wales,30000.0,1.0,0,No
80186589,61.0,41,England - London,48700.0,2.0,0,No
40138616,37.0,21,England - Yorkshire and Humber,53900.0,3.0,0,No
15346121,39.0,21,England - South East,33900.0,1.0,0,No
19606310,69.0,46,England - North West,26800.0,2.0,0,No
30667987,56.0,92,England - South West,21900.0,3.0,0,No
28628135,52.0,58,England - South West,39600.0,2.0,0,No
78084930,38.0,15,Wales,95900.0,4.0,0,No
12832837,22.0,2,England - North East,29100.0,1.0,0,No
46294455,67.0,71,England - London,53600.0,4.0,0,No
51242198,59.0,68,Scotland,45300.0,4.0,0,No
20820252,31.0,31,England - South East,23700.0,1.0,0,No
65117773,26.0,40,England - North East,20800.0,1.0,1,No
50164460,41.0,55,England - South West,38000.0,2.0,0,No
49414126,44.0,5,Scotland,33200.0,3.0,0,No
26004586,49.0,47,Scotland,27700.0,1.0,1,No
62292750,37.0,32,England - Yorkshire and Humber,52300.0,1.0,0,No
12714424,45.0,40,England - South West,85200.0,2.0,0,No
18743608,76.0,105,England - South West,14000.0,1.0,0,No
77239343,45.0,6,England - Yorkshire and Humber,30200.0,1.0,1,No
99728932,48.0,20,England - North West,26800.0,2.0,0,No
51044134,33.0,31,England - London,29500.0,3.0,0,No
25903938,36.0,37,England - Yorkshire and Humber,71700.0,1.0,0,No
87505122,35.0,39,Scotland,13100.0,1.0,1,Yes
38170203,53.0,60,England - South East,37900.0,2.0,0,No
47138640,55.0,87,England - London,49000.0,2.0,1,No
69546448,51.0,34,Northern Ireland,28500.0,2.0,0,No
68785894,32.0,67,England - Yorkshire and Humber,53000.0,3.0,0,No
84567048,58.0,63,England - London,36200.0,2.0,1,No
79367959,47.0,36,Scotland,43000.0,5.0,0,No
97402607,,41,England - West Midlands,63900.0,3.0,1, No 
87627550,32.0,72,England - North West,125900.0,5.0,0,No
73986551,50.0,27,England - South East,27500.0,1.0,1,No
84617875,38.0,14,England - West Midlands,31200.0,3.0,0,No
70896959,30.0,30,England - London,47200.0,4.0,0,No
49934357,23.0,2,Scotland,19100.0,1.0,1,No
18254860,19.0,10,England - North West,,1.0,1,No
81434086,55.0,87,England - South East,29000.0,1.0,1,No
67868621,,49,England - London,81500.0,2.0,0,No
63483141,42.0,20,Scotland,52500.0,2.0,0,No
37354029,55.0,41,England - Yorkshire and Humber,35900.0,1.0,1,No
69129937,36.0,15,England - Yorkshire and Humber,37200.0,1.0,3,No
27726247,34.0,28,England - North East,19500.0,1.0,0,No
28137836,35.0,55,England - North West,38800.0,1.0,0,No
21046125,44.0,51,England - South East,54000.0,2.0,0,No
93148811,49.0,28,England - Yorkshire and Humber,29500.0,3.0,0,No
16044754,61.0,87,Scotland,103200.0,4.0,0,No
10892411,54.0,95,England - West Midlands,33900.0,1.0,1,No
58282643,47.0,73,Scotland,52700.0,2.0,1,No
10283382,33.0,38,England - West Midlands,19500.0,2.0,0,No
91881286,40.0,41,,43500.0,1.0,0,No
40323914,38.0,25,Wales,21700.0,2.0,1,No
47260924,19.0,9,England - London,,2.0,0,No
90798113,61.0,23,England - South East,25700.0,3.0,0,No
93692058,65.0,69,Scotland,12000.0,1.0,0,No
13657997,46.0,55,England - London,72200.0,3.0,0,No
76927177,45.0,40,England - South East,,1.0,0,No
40964725,26.0,11,England - South East,26900.0,1.0,4,Yes
39512888,46.0,71,Wales,29200.0,2.0,0,No
22592937,30.0,28,Scotland,68700.0,2.0,0,No
23358904,35.0,14,England - North West,33100.0,1.0,0,No
74582848,50.0,9,England - Yorkshire and Humber,72200.0,,1,No
54593998,29.0,18,England - South East,65800.0,1.0,1,No
95782201,31.0,10,England - Yorkshire and Humber,45500.0,1.0,0,No
30236847,73.0,114,England - West Midlands,32900.0,3.0,0,No
58369254,38.0,39,England - Yorkshire and Humber,40200.0,1.0,1,No
31487814,18.0,8,England - West Midlands,39300.0,2.0,0,No
44150107,53.0,46,northern ireland,19800.0,3.0,0,No
16027993,42.0,46,England - London,65800.0,2.0,0,No
32346233,43.0,52,England - North East,52700.0,2.0,0,No
51729739,51.0,57,England - West Midlands,39800.0,2.0,0,No
98608302,41.0,1,England - North East,31600.0,1.0,3,No
38541020,37.0,6,England - North West,49500.0,1.0,1,No
80015717,18.0,24,England - South West,35600.0,2.0,0,No
34671618,27.0,6,England - London,46200.0,2.0,1,No
55452638,44.0,19,England - Yorkshire and Humber,22400.0,2.0,0,No
93137693,18.0,27,England - London,56700.0,1.0,0,No
87187640,63.0,59,England - London,17800.0,2.0,0,No
36943413,30.0,0,England - London,51800.0,1.0,1,No
51098151,45.0,6,England - South West,44800.0,1.0,0,Yes
32345042,42.0,30,England - West Midlands,30500.0,2.0,0,No
47823425,18.0,20,England - London,18200.0,1.0,2,Yes
52155155,74.0,75,Wales,58300.0,4.0,0,No
19025767,70.0,90,England - North West,33200.0,3.0,0,No
53172756,37.0,17,Scotland,29600.0,1.0,0,No
38573761,45.0,59,England - North West,48700.0,1.0,0,No
78639393,30.0,49,England - London,39000.0,2.0,0,No
52811100,59.0,48,England - North West,38900.0,3.0,0,No
14546601,25.0,24,England - West Midlands,19500.0,3.0,1,No
44769886,45.0,67,England - North West,51300.0,3.0,0,No
49856090,47.0,65,Northern Ireland,38600.0,3.0,1,No
56928454,36.0,22,England - Yorkshire and Humber,21200.0,1.0,1,Yes
22286639,66.0,96,,23000.0,2.0,0,No
67305442,57.0,89,England - South East,36400.0,3.0,0,No
21421467,36.0,41,England - West Midlands,30200.0,1.0,0,No
95699526,57.0,92,England - North East,29500.0,4.0,0,No
83778576,33.0,29,England - North West,91800.0,4.0,0,No
49011368,40.0,31,England - Yorkshire and Humber,75100.0,2.0,0,No
34906999,29.0,31,England - Yorkshire and Humber,40800.0,2.0,1,No
51662370,50.0,94,England - South East,40700.0,2.0,0,No
94631577,64.0,70,England - Yorkshire and Humber,24900.0,1.0,0,No
35279824,53.0,36, England - South East ,26800.0,3.0,0,Yes
60802211,40.0,2,England - South West,51900.0,1.0,0,No
33501348,36.0,22,Wales,30000.0,1.0,0,No
30577624,37.0,55,England - London,39900.0,3.0,0,No
36814270,52.0,45,England - North West,76600.0,3.0,0,No
97939307,28.0,34,England - London,34300.0,1.0,1,No
73417027,36.0,26,england - london,35500.0,1.0,0,No
40495708,45.0,21,England - London,41900.0,1.0,2,No
11605229,46.0,37,England - South West,27300.0,1.0,0,No
74766751,59.0,49,,27600.0,2.0,0,No
46974503,37.0,35,England - West Midlands,67900.0,2.0,0,No
70501951,34.0,18, Scotland ,59900.0,2.0,0,No
47454297,64.0,61,England - North East,30600.0,2.0,0,No
93679427,26.0,30,Scotland,19300.0,1.0,2,No
29522152,76.0,46,England - London,75100.0,4.0,0,No
60028827,59.0,64,england - london,32700.0,3.0,0,No
38302612,46.0,61,England - North East,91100.0,2.0,0,No
84623495,52.0,95,England - London,36000.0,4.0,0,No
70676848,47.0,59,Yorks & Humber,24800.0,2.0,0,No
18183171,41.0,4,England - North West,35800.0,3.0,3,No
78829869,51.0,66,Scotland,20200.0,3.0,0, No 
11460725,55.0,60,England - South East,48000.0,2.0,0,No
16076479,59.0,59,England - South East,,2.0,0,No
66558306,54.0,56,England - South East,38900.0,3.0,0,No
88706552,25.0,17,Wales,73400.0,1.0,1,No
24795051,49.0,25,England - North West,55700.0,2.0,0,No
78373793,40.0,52,Scotland,12500.0,1.0,0,No
69569278,43.0,7,Scotland,34300.0,,1,No
11675896,58.0,64,England - Yorkshire and Humber,21200.0,3.0,0,No
33270821,55.0,54,London,103600.0,4.0,0,No
86476010,26.0,5,Northern Ireland,24500.0,1.0,2,No
43128386,75.0,90,England - South East,37600.0,4.0,0,No
52257707,32.0,45,England - South West,25500.0,2.0,0,No
90520112,48.0,88,England - London,22200.0,2.0,0,No
18047028,56.0,51,England - South East,49100.0,2.0,0,No
96512697,47.0,20,England - Yorkshire and Humber," 26,600 ",3.0,0,No
97595130,48.0,48,England - Yorkshire and Humber,13500.0,1.0,0,No
27377642,19.0,12,Wales,14600.0,1.0,0,Yes
17303705,33.0,56,England - London,38900.0,2.0,0,No
18466163,43.0,39,England - South East,16100.0,2.0,0,No
37158156,31.0,22,England - London,112700.0,3.0,0,No
12704819,54.0,34,England - London,39300.0,1.0,0,No
81865349,37.0,66,England - South East,59900.0,3.0,0,No
44551815,34.0,24,Scotland,19400.0,1.0,2,No
57932742,33.0,44,England - London,42700.0,2.0,2,No
64729759,72.0,96,England - South West,42000.0,4.0,0,No
46788825,63.0,48,England - London,29100.0,2.0,1,No
60440221,,79,England - London,69500.0,2.0,0,No
23860591,59.0,71,Scotland,14400.0,2.0,0,No
49563076,28.0,42,England - South East,26000.0,1.0,3,Yes
78374051,27.0,2,England - Yorkshire and Humber,16300.0,1.0,0,Yes
76921592,44.0,37,England - London,68800.0,2.0,0,No
74993592,18.0,0, Scotland ,15600.0,2.0,0,No
51442726,34.0,77,England - South East,42800.0,3.0,0,No
93435097,63.0,73,England - London,79600.0,3.0,0,No
98098170,,22,England - London,47000.0,4.0,0,No
85999833,64.0,32,England - North East,58700.0,3.0,1,No
45075834,29.0,19,England - North West,64700.0,3.0,0,No
74466164,39.0,13,England - London,31500.0,1.0,0,No
96281507,28.0,14,England - London,33300.0,1.0,1,No
49303889,55.0,65,England - South West,23900.0,2.0,0,Yes
93819409,18.0,0,England - London,26200.0,1.0,1,No
63009798,45.0,38,Northern Ireland,33400.0,2.0,0,No
75744991,32.0,4,England - SE,42400.0,1.0,3,No
52670027,26.0,44,England - Yorkshire and Humber,58300.0,2.0,1,No
84457189,51.0,74,England - Yorkshire and Humber,29500.0,2.0,0,No
94457561,40.0,38,England - Yorkshire and Humber,35800.0,2.0,0,No
38324376,70.0,93,Scotland,31700.0,1.0,1,No
67079656,46.0,56,England - London,96300.0,4.0,0,No
19599740,38.0,6,England - West Midlands,24800.0,3.0,1,Yes
97801031,41.0,42,Scotland,13000.0,1.0,1,No
59375249,37.0,11,England - South West,21800.0,2.0,0,No
49703045,46.0,88,London,15100.0,1.0,2,Yes
74778296,46.0,54,England - South East,30300.0,1.0,0,No
22282270,47.0,42,Wales,74700.0,3.0,0,No
21738668,29.0,24,England - London,35100.0,1.0,1,no
12391483,43.0,0,England - South East,41500.0,1.0,0,Yes
97509673,41.0,60,Wales,66800.0,2.0,0,No
87857646,21.0,18,Wales,16600.0,1.0,1,No
81266875,44.0,49,England - London,55200.0,4.0,0,No
56355142,61.0,53,England - South West,21100.0,3.0,0,No
17493480,45.0,29,England - South East,25700.0,2.0,1,No
36997929,48.0,53,Wales,37300.0,2.0,0,No
23965204,120.0,67,England - West Midlands,30900.0,2.0,0,No
51566721,43.0,37,England - Yorkshire and Humber,36200.0,1.0,0,No
52831533,42.0,51,England - South West,47700.0,3.0,0,No
59188553,41.0,38,England - South East,33400.0,2.0,0,No
95937760,30.0,38,England - South East,28600.0,1.0,0,No
23785226,53.0,83,England - South East,29900.0,3.0,0,No
91546645,59.0,44,Scotland,35700.0,1.0,1,No
97846976,63.0,70,England - London,35000.0,2.0,0,No
92186273,39.0,17,England - North West,59600.0,1.0,0,No
31986420,38.0,43,WALES,49400.0,1.0,0,No
11607465,61.0,86,west midlands,13400.0,2.0,0,No
80326417,58.0,62,England - South East,27000.0,1.0,0,No
65884937,47.0,40,England - North East,26600.0,2.0,0,No
22629890,36.0,58,England - South West,20700.0,2.0,0,No
77676107,62.0,52,south east,38000.0,1.0,2,No
52329839,48.0,41,Scotland,16500.0,2.0,0,No
78778405,,53,England - South West,92800.0,3.0,0,No
15501403,34.0,25,England - North West,35500.0,1.0,0,No
64779325,46.0,43,Wales,38000.0,3.0,0,No
70438729,30.0,46,England - North West,40900.0,4.0,0,No
61691017,35.0,36,England - London,35700.0,2.0,0,No
50388417,37.0,75,England - London,21000.0,3.0,0,No
71026436,30.0,39,England - North West,25600.0,2.0,0,No
63769656,34.0,18,England - North East,19900.0,1.0,0,No
90246811,58.0,63,England - South West,45500.0,2.0,0,No
93507861,59.0,68,England - London,23900.0,1.0,0,No
65506094,46.0,36,England - North East,27700.0,2.0,0,No
75668613,31.0,18,England - South West,49600.0,1.0,0,No
82695636,46.0,33,England - North West,28700.0,1.0,0,No
85338094,22.0,37,England - London,26300.0,2.0,0,No
26801498,38.0,53,England - South East,64700.0,2.0,0,No
61069061,18.0,48,England - West Midlands,37600.0,2.0,0,No
62268686,41.0,31,England - Yorkshire and Humber,20600.0,2.0,0,No
56352741,18.0,8,Scotland,39300.0,3.0,0,Yes
36368903,73.0,94,Wales,,5.0,1,No
63038348,50.0,42,England - West Midlands,36600.0,2.0,0,No
81496766,22.0,8,England - Yorkshire and Humber,23200.0,2.0,1,No
30122867,44.0,41,Scotland,30700.0,4.0,0,No
35192475,30.0,45,England - London,71200.0,3.0,0,No
60794017,58.0,34,England - London,29600.0,3.0,1,No
15000891,42.0,82,England - West Midlands,20400.0,2.0,0,No
66917677,36.0,25,England - London,36500.0,1.0,1,No
18394311,44.0,33,England - South West,62700.0,1.0,0,No
85785071,18.0,13,England - London,14900.0,2.0,1,No
35403783,36.0,25,England - South East,45100.0,1.0,1,No
89146418,35.0,51,England - West Midlands,37600.0,3.0,0,No
26331596,18.0,0,England - West Midlands,59000.0,1.0,1,No
63304663,29.0,46,England - London," 82,900 ",4.0,0,No
48631455,44.0,49,England - South West,22500.0,1.0,0,No
22947829,67.0,107,England - West Midlands,34500.0,4.0,1,NO
50578861,27.0,31,Scotland,39600.0,2.0,0,No
37749378,23.0,38,England - London,35900.0,3.0,0,No
48166322,41.0,47,England - London,32600.0,2.0,0,No
15353649,36.0,12,England - West Midlands,21700.0,1.0,0,No
36000552,50.0,58,Scotland,41000.0,3.0,0,No
47263945,45.0,11,England - North West,55900.0,2.0,1,No
37162044,48.0,50,England - South West,79200.0,3.0,1,No
16125929,42.0,46,England - London,37500.0,3.0,0,No
88755265,21.0,16,England - Yorkshire and Humber,16600.0,1.0,1,NO
18976337,60.0,84,Yorks & Humber,25400.0,3.0,0,No
83848529,49.0,100,England - South East,43100.0,3.0,1,No
19841668,37.0,14,Wales,22800.0,1.0,0,Yes
66118272,47.0,60,England - North West,30000.0,2.0,0,No
58785536,65.0,57,England - South East,34400.0,3.0,0,No
79897440,33.0,11,south east,18900.0,1.0,0,No
22521593,36.0,60,Scotland,90100.0,1.0,1,Yes
25695648,59.0,70,Wales,27600.0,1.0,1,No
99219835,64.0,19,Northern Ireland,25000.0,1.0,1,No
54456826,37.0,30,England - North West,29900.0,2.0,0,No
27818223,43.0,30,Scotland,35100.0,1.0,1,No
60580528,42.0,49,England - North West,33200.0,2.0,0,No
22067970,36.0,17,England - Yorkshire and Humber,16900.0,1.0,0,No
71660823,38.0,42,England - Yorkshire and Humber,32800.0,2.0,0,No
69089952,36.0,26,England - South East,44900.0,3.0,0,No
41362937,30.0,13,Scotland,39200.0,1.0,0,No
88555002,45.0,30,England - South East,40100.0,2.0,1,No
71009353,43.0,59,England - SE,39400.0,3.0,0,No
59800371,36.0,49,England - South East,40100.0,3.0,0,No
75232635,63.0,65,England - London,42600.0,3.0,1,No
56929720,41.0,46,,17500.0,2.0,1,No
94464443,55.0,32,England - South East,44500.0,1.0,1,No
72109811,18.0,19,north east,32700.0,3.0,0,No
43208563,35.0,0,England - Yorkshire and Humber,28700.0,1.0,0,No
23593099,49.0,60,England - London,84000.0,4.0,0,No
50433402,27.0,8,England - South East,29100.0,1.0,0,No
62578656,44.0,44,Scotland,24100.0,2.0,1,No
32797531,35.0,38,England - North West,44900.0,2.0,1,No
